arm1	arm2	alltracount	bdtracount	cont	e2	log2ratio	amptracount
2p	16p	12	0	20	22	0.263034405833794	0
2q	4p	12	0	11	25	1.24654628304522	0
2q	18p	12	0	8	8	0.137503523749935	0
3p	17p	12	0	69	85	0.413468499623503	0
3q	19q	12	0	0	0	NA	0
3q	20p	12	0	23	20	-0.0445901510240706	0
3q	20q	12	0	0	0	NA	0
4p	21q	12	0	0	0	NA	0
5q	7q	12	0	23	35	0.697541769310863	0
5q	21q	12	0	0	0	NA	0
6p	11p	12	0	4	7	0.887525270741587	0
6p	16p	12	0	2	2	0.137503523749935	0
6p	21q	12	1	0	0	NA	0
7p	9q	12	0	6	6	0.137503523749935	0
7p	20q	12	0	1	3	1.63226821549951	0
7q	10p	12	0	8	17	1.15380533607904	0
7q	12p	12	0	10	15	0.678071905112638	0
8p	10p	12	0	4	2	-0.736965594166206	0
8p	14q	12	1	8	6	-0.234465253637023	2
8p	20p	12	1	1	9	3.18586654531133	1
8p	Xq	12	0	6	11	0.951090399519054	0
9q	16q	12	0	8	4	-0.736965594166206	0
10p	18q	12	0	0	0	NA	0
10p	20q	12	0	11	11	0.137503523749935	0
10p	22q	12	0	0	0	NA	0
10q	12p	12	0	2	2	0.137503523749935	0
10q	19p	12	0	4	4	0.137503523749935	0
10q	19q	12	0	4	6	0.678071905112638	0
11p	14q	12	0	4	6	0.678071905112638	0
11p	20q	12	0	2	0	-3.32192809488736	0
12q	19p	12	1	8	7	-0.036525876025114	0
12q	21q	12	0	1	2	1.0703893278914	0
13q	19p	12	0	2	2	0.137503523749935	0
15q	20p	12	2	0	0	NA	1
15q	21q	12	0	2	2	0.137503523749935	0
16p	19q	12	0	5	8	0.765534746362977	0
17p	19p	12	1	0	0	NA	0
17p	21q	12	0	0	0	NA	0
19q	Xq	12	0	10	5	-0.736965594166206	0
20p	22q	12	0	1	3	1.63226821549951	0
1p	20p	11	0	51	90	0.898948094001705	0
1p	Xq	11	0	0	0	NA	0
1q	19p	11	0	23	10	-0.902975545605135	0
2p	7p	11	0	12	21	0.887525270741587	0
3p	14q	11	0	6	6	0.137503523749935	0
3p	19p	11	1	24	33	0.560714954474479	1
3q	8p	11	2	10	13	0.485426827170242	1
4p	7p	11	0	6	0	-3.32192809488736	0
4p	20q	11	0	4	2	-0.736965594166206	0
4q	16q	11	0	1	6	2.60880924267552	0
4q	20p	11	0	190	232	0.401687945619824	0
5p	6p	11	0	6	2	-1.20645087746743	0
5p	9p	11	0	3	4	0.519374159093579	0
5p	11q	11	1	9	8	-0.0161196653632771	0
5p	13q	11	0	2	6	1.63226821549951	0
5p	22q	11	0	0	0	NA	0
5q	20q	11	0	15	19	0.450661409009565	0
6p	18q	11	0	0	0	NA	0
7p	11p	11	0	12	6	-0.736965594166206	0
7p	12p	11	0	6	8	0.519374159093579	0
7q	20q	11	1	1	2	1.0703893278914	0
7q	Xp	11	1	16	16	0.137503523749935	0
8q	20p	11	0	8	4	-0.736965594166206	0
9p	10p	11	1	2	0	-3.32192809488736	0
9p	12p	11	0	14	10	-0.296393002780225	0
9p	12q	11	0	9	4	-0.877143252214467	0
9p	19q	11	0	0	0	NA	0
10p	12p	11	0	2	4	1.0703893278914	0
10p	15q	11	0	2	4	1.0703893278914	0
10p	Xq	11	0	13	7	-0.64732838168153	0
10q	20p	11	0	6	6	0.137503523749935	0
11p	18q	11	0	0	0	NA	0
11p	Xp	11	1	12	6	-0.736965594166206	0
11q	18p	11	1	4	7	0.887525270741587	1
11q	20p	11	0	15	10	-0.383328639551506	0
12p	14q	11	2	6	6	0.137503523749935	2
12p	15q	11	0	2	4	1.0703893278914	0
12p	20p	11	1	0	0	NA	1
12p	22q	11	0	0	0	NA	0
12q	16q	11	0	6	13	1.18057224564182	0
12q	17p	11	0	4	9	1.23266075679027	0
12q	20p	11	1	6	4	-0.383328639551506	0
16p	19p	11	0	2	11	2.48542682717024	0
16q	22q	11	0	0	0	NA	0
16q	Xp	11	0	4	0	-3.32192809488736	0
17p	19q	11	0	1	3	1.63226821549951	0
17p	22q	11	2	1	6	2.60880924267552	1
18q	19q	11	0	8	0	-3.32192809488736	0
18q	20p	11	0	1	2	1.0703893278914	0
19p	21q	11	1	2	2	0.137503523749935	0
19q	22q	11	2	1	2	1.0703893278914	2
2p	19p	10	0	13	9	-0.335867285845236	0
2p	20p	10	0	26	39	0.678071905112638	0
2p	Xp	10	0	18	9	-0.736965594166206	0
3p	5q	10	0	19	8	-0.940498988251338	0
3p	7p	10	0	24	42	0.887525270741587	0
3p	16p	10	0	13	28	1.17238904139379	0
3p	21q	10	0	0	0	NA	0
3q	9p	10	0	15	15	0.137503523749935	0
4p	7q	10	0	25	21	-0.0892673380970874	0
4p	16q	10	1	17	0	-3.32192809488736	0
4p	19p	10	0	5	7	0.584962500721156	0
4q	22q	10	0	0	0	NA	0
4q	Xp	10	1	4	4	0.137503523749935	1
5p	10p	10	0	4	0	-3.32192809488736	0
5p	12q	10	0	8	5	-0.46394709975979	0
5p	14q	10	0	2	6	1.63226821549951	0
5p	16q	10	0	5	6	0.37851162325373	0
5p	20q	10	0	6	10	0.821029858954681	0
5p	Xp	10	0	1	2	1.0703893278914	0
5q	10p	10	0	6	10	0.821029858954681	0
6p	9p	10	1	6	6	0.137503523749935	1
6p	18p	10	0	1	6	2.60880924267552	0
6q	19p	10	0	16	42	1.44625622988956	0
7q	9p	10	1	18	26	0.627087976393833	0
7q	18q	10	0	4	0	-3.32192809488736	0
7q	19p	10	0	18	22	0.402964666978269	0
7q	20p	10	1	50	48	0.0840642647884746	0
9q	Xp	10	0	4	4	0.137503523749935	0
10p	16q	10	1	4	8	1.0703893278914	1
11p	17p	10	0	5	5	0.137503523749935	0
12p	Xq	10	0	13	11	-0.0798533076892147	0
12q	Xp	10	0	8	0	-3.32192809488736	0
16q	17p	10	3	4	8	1.0703893278914	0
18q	20q	10	0	30	23	-0.206450877467426	0
20q	Xp	10	1	4	8	1.0703893278914	0
1q	17p	9	0	24	28	0.341036917835067	0
2p	17p	9	0	13	19	0.642968104156722	0
